PID,Location,Name,Deck Faction
1,Vizima royal garden,Nilfgaardian Nobleman,2
2,Crow's Perch,Phillip Strenger,3
3,Midcopse,Haddy,3
4,Oreton,Boatwright,2
5,Benek,Old Sage,1
6,Inn at the Crossroads,Innkeep,2
7,The Kingfisher Inn,Olivier,1
8,Sigismund's Bathhouse,Sigismund Dijkstra,3
9,Passiflora,Marquise Serenity,2
10,Passiflora,Sasha,2
11,Passiflora,Count Tybalt,1
12,Vegelbud Residence,Gomo Seeling,4
13,Gedyneith,Ermion,1
14,Kaer Muire,Madman Lugos,1
15,Kaer Trolde citadel,Crach an Craite,1
16,The Alchemy,Olgierd von Everec,1
17,Rosemary and Thyme,Zoltan,4
18,Passiflora,Finneas,4
19,Vegelbud Residence,Vladimir de Cret,2
20,Temerian Partisan Hideout,Vernon Roche,3
21,Circus troupe northwest of Carsten,Merchant,4
22,Kaer Trolde,Sjusta,3
23,The Adder and Jewels Winery,Sommelier,5
24,The Ducal Camerlengo,Rafael de Surmann,2
25,Dupont & Sons,Merchant,1
26,Hauteville,Armorer,3
27,The Barrel and Bung Inn,Innkeep,3
28,The Scarlet Cardinal Inn,Innkeep,2
29,The Cockatrice Inn,Innkeep,5
30,Castel Ravello Vineyard,Herbalist,2
31,Tourney Grounds,Blacksmith,5
32,Tourney Grounds,Innkeep,4
33,The Pheasantry,Innkeep,1
34,Perfumery,Merchant,5
35,The Belles of Beauclair,Madame Isabelle,4
36,Between Loggers' Hut and Lucian's Windmill,Merchant,4
37,Vegelbud Residence,Marius Florin,1
38,Borsodi Brothers' Auction House,Hilbert,2
39,Seven Cats Inn,Thaler,4
40,Gedyneith,Gremist,2
41,Shani's Clinic,Shani,1
42,Tourney Grounds,Barber,5
43,Kaer Morhen,Lambert,4
44,Hierarch Square,Vimme Vivaldi,4
45,The Alchemy,Stjepan,2
46,White Orchard Inn,Aldert Geert,2
